Nodo,Datos
774,"{'ID': 774, 'Marca': 'FireEye', 'Modelo': 'u9VDqR', 'Puertos': 12, 'Ubicacion': (62.2479475192683, 3.7378710873907095), 'AnchoDeBanda': 363}"
775,"{'ID': 775, 'Marca': 'F5 Networks', 'Modelo': 'RPpy39', 'Puertos': 30, 'Ubicacion': (43.03137059855734, 3.5332979878752058), 'AnchoDeBanda': 659}"
776,"{'ID': 776, 'Marca': 'TP-Link', 'Modelo': 'Lrx791', 'Puertos': 44, 'Ubicacion': (99.16628526351893, 52.10822021899298), 'AnchoDeBanda': 76}"
777,"{'ID': 777, 'Marca': 'Huawei', 'Modelo': 'fnOwMi', 'Puertos': 24, 'Ubicacion': (28.458476040159276, 42.45978978626036), 'AnchoDeBanda': 93}"
778,"{'ID': 778, 'Marca': 'Zyxel', 'Modelo': 'Z5dStN', 'Puertos': 5, 'Ubicacion': (8.876436443490476, 24.643439300982052), 'AnchoDeBanda': 570}"
779,"{'ID': 779, 'Marca': 'Netgear', 'Modelo': 'P1i4w6', 'Puertos': 12, 'Ubicacion': (32.77145803092096, 24.796978049915253), 'AnchoDeBanda': 979}"
780,"{'ID': 780, 'Marca': 'Ruckus Networks', 'Modelo': 'WTxRKj', 'Puertos': 11, 'Ubicacion': (75.89307092516057, 72.68105639438915), 'AnchoDeBanda': 177}"
781,"{'ID': 781, 'Marca': 'Aruba Networks', 'Modelo': 'fNPv3k', 'Puertos': 7, 'Ubicacion': (21.59340579889857, 78.94629249381559), 'AnchoDeBanda': 232}"
782,"{'ID': 782, 'Marca': 'Netgear', 'Modelo': 'T3mVze', 'Puertos': 48, 'Ubicacion': (52.091611977856736, 6.373939818466123), 'AnchoDeBanda': 750}"
783,"{'ID': 783, 'Marca': 'Cisco', 'Modelo': 'rswmrh', 'Puertos': 30, 'Ubicacion': (9.992790185123324, 42.9281499268297), 'AnchoDeBanda': 173}"
784,"{'ID': 784, 'Marca': 'Pulse Secure', 'Modelo': 'qO49ox', 'Puertos': 15, 'Ubicacion': (24.60965421378747, 60.146987853638834), 'AnchoDeBanda': 60}"
785,"{'ID': 785, 'Marca': 'Pulse Secure', 'Modelo': 'bhb6cB', 'Puertos': 32, 'Ubicacion': (57.685711681024465, 89.7784877839427), 'AnchoDeBanda': 263}"
786,"{'ID': 786, 'Marca': 'F5 Networks', 'Modelo': 'zfCmaw', 'Puertos': 7, 'Ubicacion': (69.74699817866654, 77.54578758543394), 'AnchoDeBanda': 369}"
787,"{'ID': 787, 'Marca': 'Ubiquiti Networks', 'Modelo': 'uYk09h', 'Puertos': 9, 'Ubicacion': (90.72425627100326, 87.00514108861098), 'AnchoDeBanda': 578}"
788,"{'ID': 788, 'Marca': 'Check Point', 'Modelo': 'LcCgLa', 'Puertos': 12, 'Ubicacion': (95.33104281227914, 6.4810801341052215), 'AnchoDeBanda': 763}"
789,"{'ID': 789, 'Marca': 'Barracuda Networks', 'Modelo': 'yRQFqr', 'Puertos': 18, 'Ubicacion': (57.26299771948723, 49.79167563907595), 'AnchoDeBanda': 284}"
790,"{'ID': 790, 'Marca': 'Pulse Secure', 'Modelo': 'Tj0yPg', 'Puertos': 28, 'Ubicacion': (12.482561635654154, 43.12527618297551), 'AnchoDeBanda': 160}"
791,"{'ID': 791, 'Marca': 'Cisco', 'Modelo': 'XVbeJi', 'Puertos': 45, 'Ubicacion': (63.275033238201985, 75.1057350011906), 'AnchoDeBanda': 973}"
792,"{'ID': 792, 'Marca': 'Huawei', 'Modelo': 'MkWV9a', 'Puertos': 23, 'Ubicacion': (99.85301431502005, 27.615988214217346), 'AnchoDeBanda': 573}"
793,"{'ID': 793, 'Marca': 'Check Point', 'Modelo': 'XFt4oM', 'Puertos': 26, 'Ubicacion': (71.30465805607388, 92.56135530267022), 'AnchoDeBanda': 189}"
794,"{'ID': 794, 'Marca': 'Netgear', 'Modelo': 'sjsnxd', 'Puertos': 5, 'Ubicacion': (93.70582792441245, 16.778782945070503), 'AnchoDeBanda': 679}"
795,"{'ID': 795, 'Marca': 'Netgear', 'Modelo': 'd8cHho', 'Puertos': 16, 'Ubicacion': (51.629762064599646, 4.838199234180651), 'AnchoDeBanda': 597}"
796,"{'ID': 796, 'Marca': 'FireEye', 'Modelo': 'Um1gHj', 'Puertos': 15, 'Ubicacion': (91.73041094954135, 72.23322797914362), 'AnchoDeBanda': 509}"
797,"{'ID': 797, 'Marca': 'Cisco', 'Modelo': 'mATGz5', 'Puertos': 32, 'Ubicacion': (46.60961534780827, 79.7490931575533), 'AnchoDeBanda': 420}"
798,"{'ID': 798, 'Marca': 'Check Point', 'Modelo': 'ppkaB8', 'Puertos': 32, 'Ubicacion': (88.83474082701494, 98.70665673041707), 'AnchoDeBanda': 205}"
799,"{'ID': 799, 'Marca': 'Ubiquiti Networks', 'Modelo': 'BK9e65', 'Puertos': 27, 'Ubicacion': (36.239596415117035, 44.93521958034615), 'AnchoDeBanda': 827}"
800,"{'ID': 800, 'Marca': 'Netgear', 'Modelo': '3gLI5i', 'Puertos': 9, 'Ubicacion': (9.789088633330067, 94.87890829853109), 'AnchoDeBanda': 848}"
801,"{'ID': 801, 'Marca': 'Avaya', 'Modelo': 'ZZu6VO', 'Puertos': 42, 'Ubicacion': (88.49235680313762, 77.50080258918261), 'AnchoDeBanda': 875}"
802,"{'ID': 802, 'Marca': 'Juniper Networks', 'Modelo': '7D5Wdr', 'Puertos': 6, 'Ubicacion': (47.13512997405187, 74.00698547340602), 'AnchoDeBanda': 777}"
803,"{'ID': 803, 'Marca': 'Pulse Secure', 'Modelo': 'OND8AE', 'Puertos': 27, 'Ubicacion': (47.29605015839245, 34.176864363857675), 'AnchoDeBanda': 76}"
804,"{'ID': 804, 'Marca': 'F5 Networks', 'Modelo': 'M0wbxM', 'Puertos': 39, 'Ubicacion': (56.16083407111452, 95.86036080881385), 'AnchoDeBanda': 966}"
805,"{'ID': 805, 'Marca': 'Dell', 'Modelo': 'KKrDkD', 'Puertos': 17, 'Ubicacion': (23.681625936829075, 54.20192966802), 'AnchoDeBanda': 962}"
806,"{'ID': 806, 'Marca': 'Cisco', 'Modelo': 'XWNmQP', 'Puertos': 49, 'Ubicacion': (72.36072528845128, 96.53245450204898), 'AnchoDeBanda': 56}"
807,"{'ID': 807, 'Marca': 'Huawei', 'Modelo': 'mxDMVj', 'Puertos': 46, 'Ubicacion': (30.18169983362613, 38.148195960893204), 'AnchoDeBanda': 676}"
808,"{'ID': 808, 'Marca': 'Check Point', 'Modelo': 'hQXPEg', 'Puertos': 6, 'Ubicacion': (64.60999263388688, 51.853181962844666), 'AnchoDeBanda': 146}"
809,"{'ID': 809, 'Marca': 'Ubiquiti Networks', 'Modelo': '5T5GI6', 'Puertos': 13, 'Ubicacion': (69.31525447412983, 95.79771358146853), 'AnchoDeBanda': 344}"
810,"{'ID': 810, 'Marca': 'Riverbed Technology', 'Modelo': 'gbf27F', 'Puertos': 11, 'Ubicacion': (11.546200629571658, 34.13128013730474), 'AnchoDeBanda': 747}"
811,"{'ID': 811, 'Marca': 'Barracuda Networks', 'Modelo': 'v1gP0X', 'Puertos': 10, 'Ubicacion': (67.79036178017579, 71.95620129739049), 'AnchoDeBanda': 141}"
812,"{'ID': 812, 'Marca': 'Ruckus Networks', 'Modelo': 'nxXHtb', 'Puertos': 34, 'Ubicacion': (32.22733534176658, 14.166806717999291), 'AnchoDeBanda': 968}"
813,"{'ID': 813, 'Marca': 'Check Point', 'Modelo': 'WkUEQH', 'Puertos': 29, 'Ubicacion': (5.334252997548039, 13.87858100156798), 'AnchoDeBanda': 684}"
814,"{'ID': 814, 'Marca': 'TP-Link', 'Modelo': 'EPUYEd', 'Puertos': 15, 'Ubicacion': (94.43121583418996, 49.73122065499312), 'AnchoDeBanda': 289}"
815,"{'ID': 815, 'Marca': 'Barracuda Networks', 'Modelo': 'bJDiD1', 'Puertos': 15, 'Ubicacion': (50.65130480372463, 38.03806649278031), 'AnchoDeBanda': 616}"
816,"{'ID': 816, 'Marca': 'TP-Link', 'Modelo': 'HDALlE', 'Puertos': 20, 'Ubicacion': (61.374114587253935, 9.449240245891577), 'AnchoDeBanda': 848}"
817,"{'ID': 817, 'Marca': 'HP', 'Modelo': 'bEvfWM', 'Puertos': 32, 'Ubicacion': (80.17046925628637, 1.972741338117845), 'AnchoDeBanda': 292}"
818,"{'ID': 818, 'Marca': 'Avaya', 'Modelo': 'qYYuos', 'Puertos': 13, 'Ubicacion': (9.173190822479793, 83.44785851403587), 'AnchoDeBanda': 438}"
819,"{'ID': 819, 'Marca': 'Netgear', 'Modelo': 'MXtLT1', 'Puertos': 6, 'Ubicacion': (91.97611985400313, 72.28252673515948), 'AnchoDeBanda': 906}"
820,"{'ID': 820, 'Marca': 'Zyxel', 'Modelo': 'peJKO0', 'Puertos': 16, 'Ubicacion': (22.731110364500218, 16.22969396487458), 'AnchoDeBanda': 531}"
821,"{'ID': 821, 'Marca': 'F5 Networks', 'Modelo': 'ARshv8', 'Puertos': 37, 'Ubicacion': (60.0231691992778, 96.15446228914769), 'AnchoDeBanda': 717}"
822,"{'ID': 822, 'Marca': 'Ubiquiti Networks', 'Modelo': 'UgR3vQ', 'Puertos': 42, 'Ubicacion': (89.09729383228256, 18.100764112786017), 'AnchoDeBanda': 349}"
823,"{'ID': 823, 'Marca': 'HP', 'Modelo': 'lJm22v', 'Puertos': 16, 'Ubicacion': (59.89204161032248, 32.80634955691689), 'AnchoDeBanda': 389}"
824,"{'ID': 824, 'Marca': 'Netgear', 'Modelo': 'Dby0IM', 'Puertos': 23, 'Ubicacion': (2.246546437272756, 32.32242809440977), 'AnchoDeBanda': 101}"
825,"{'ID': 825, 'Marca': 'Dell', 'Modelo': 'IpVYuG', 'Puertos': 43, 'Ubicacion': (41.83617560266663, 34.58925288796142), 'AnchoDeBanda': 264}"
826,"{'ID': 826, 'Marca': 'Dell', 'Modelo': 'hhC6t7', 'Puertos': 28, 'Ubicacion': (24.104908384502956, 39.652144515943334), 'AnchoDeBanda': 9}"
827,"{'ID': 827, 'Marca': 'Check Point', 'Modelo': 'VZ6cWk', 'Puertos': 30, 'Ubicacion': (55.26782219573077, 33.25428931782012), 'AnchoDeBanda': 511}"
828,"{'ID': 828, 'Marca': 'F5 Networks', 'Modelo': 'XnLgbB', 'Puertos': 9, 'Ubicacion': (93.6248090015787, 55.229036470859995), 'AnchoDeBanda': 903}"
829,"{'ID': 829, 'Marca': 'F5 Networks', 'Modelo': '2VPLBl', 'Puertos': 31, 'Ubicacion': (97.24167266206014, 46.34111336055372), 'AnchoDeBanda': 95}"
830,"{'ID': 830, 'Marca': 'Pulse Secure', 'Modelo': 'Rdiymz', 'Puertos': 44, 'Ubicacion': (45.13316018624993, 28.589783853343864), 'AnchoDeBanda': 122}"
831,"{'ID': 831, 'Marca': 'HP', 'Modelo': 'EZy38m', 'Puertos': 39, 'Ubicacion': (93.84732083809944, 47.80788965250209), 'AnchoDeBanda': 746}"
832,"{'ID': 832, 'Marca': 'Ubiquiti Networks', 'Modelo': 'SWw5FV', 'Puertos': 40, 'Ubicacion': (63.741912432080014, 63.818531883572135), 'AnchoDeBanda': 968}"
833,"{'ID': 833, 'Marca': 'Check Point', 'Modelo': 'HfB4B6', 'Puertos': 39, 'Ubicacion': (33.781359791098886, 17.688388010369227), 'AnchoDeBanda': 878}"
834,"{'ID': 834, 'Marca': 'Ubiquiti Networks', 'Modelo': 'Inap6Z', 'Puertos': 50, 'Ubicacion': (79.20731483930268, 90.50629479351848), 'AnchoDeBanda': 771}"
835,"{'ID': 835, 'Marca': 'Zyxel', 'Modelo': 'iiT7sj', 'Puertos': 11, 'Ubicacion': (8.806284181370216, 30.639170833104934), 'AnchoDeBanda': 952}"
836,"{'ID': 836, 'Marca': 'Netgear', 'Modelo': 'Blcfag', 'Puertos': 42, 'Ubicacion': (19.150336477689777, 21.559612172725206), 'AnchoDeBanda': 122}"
837,"{'ID': 837, 'Marca': 'FireEye', 'Modelo': 'y5c08B', 'Puertos': 21, 'Ubicacion': (13.364889746441143, 48.71406154984129), 'AnchoDeBanda': 866}"
838,"{'ID': 838, 'Marca': 'Riverbed Technology', 'Modelo': 'YH9Lz5', 'Puertos': 16, 'Ubicacion': (71.91881334913136, 95.93652727036537), 'AnchoDeBanda': 936}"
839,"{'ID': 839, 'Marca': 'Pulse Secure', 'Modelo': 'Tz12aQ', 'Puertos': 47, 'Ubicacion': (98.48333462246623, 14.15862092856579), 'AnchoDeBanda': 503}"
840,"{'ID': 840, 'Marca': 'Aruba Networks', 'Modelo': 'OwrpBX', 'Puertos': 27, 'Ubicacion': (58.229970562916314, 28.01700330669631), 'AnchoDeBanda': 7}"
841,"{'ID': 841, 'Marca': 'HP', 'Modelo': 'KRr3xh', 'Puertos': 42, 'Ubicacion': (78.23351421478637, 22.26702699344156), 'AnchoDeBanda': 486}"
842,"{'ID': 842, 'Marca': 'Huawei', 'Modelo': 'tpQwpK', 'Puertos': 39, 'Ubicacion': (95.9307603435016, 98.53881003309985), 'AnchoDeBanda': 329}"
843,"{'ID': 843, 'Marca': 'Cisco', 'Modelo': '2lGHnY', 'Puertos': 41, 'Ubicacion': (92.37706552480465, 10.771371895476012), 'AnchoDeBanda': 905}"
844,"{'ID': 844, 'Marca': 'Avaya', 'Modelo': 'fN4Utd', 'Puertos': 43, 'Ubicacion': (6.064040922033797, 1.1450752373783235), 'AnchoDeBanda': 600}"
845,"{'ID': 845, 'Marca': 'FireEye', 'Modelo': 'ixScbd', 'Puertos': 44, 'Ubicacion': (95.91167580727962, 69.01628143762095), 'AnchoDeBanda': 548}"
846,"{'ID': 846, 'Marca': 'Juniper Networks', 'Modelo': 'hX8UyT', 'Puertos': 5, 'Ubicacion': (57.045594377035435, 37.27049541006867), 'AnchoDeBanda': 24}"
847,"{'ID': 847, 'Marca': 'Dell', 'Modelo': 'xkYnVe', 'Puertos': 5, 'Ubicacion': (84.26847642722949, 54.817974116851), 'AnchoDeBanda': 558}"
848,"{'ID': 848, 'Marca': 'Aruba Networks', 'Modelo': 'zBlEjp', 'Puertos': 10, 'Ubicacion': (9.205386315010955, 59.82639746415743), 'AnchoDeBanda': 486}"
849,"{'ID': 849, 'Marca': 'Cisco', 'Modelo': 'JL0gog', 'Puertos': 48, 'Ubicacion': (49.096370931193945, 41.937206418278436), 'AnchoDeBanda': 53}"
850,"{'ID': 850, 'Marca': 'Avaya', 'Modelo': 'uJYco4', 'Puertos': 14, 'Ubicacion': (65.10061854972895, 71.39657368827152), 'AnchoDeBanda': 154}"
851,"{'ID': 851, 'Marca': 'Dell', 'Modelo': 'FOXPDA', 'Puertos': 44, 'Ubicacion': (14.157450533205962, 58.24575513074336), 'AnchoDeBanda': 149}"
852,"{'ID': 852, 'Marca': 'Ubiquiti Networks', 'Modelo': 'a5dRsg', 'Puertos': 15, 'Ubicacion': (99.80215055481395, 82.45293749740927), 'AnchoDeBanda': 690}"
853,"{'ID': 853, 'Marca': 'Huawei', 'Modelo': '2oyS0j', 'Puertos': 27, 'Ubicacion': (94.93078947531308, 56.556381568811396), 'AnchoDeBanda': 554}"
854,"{'ID': 854, 'Marca': 'Check Point', 'Modelo': 'Et2ZiY', 'Puertos': 25, 'Ubicacion': (83.98764127246696, 36.54710735462531), 'AnchoDeBanda': 468}"
855,"{'ID': 855, 'Marca': 'Barracuda Networks', 'Modelo': 'IPorzw', 'Puertos': 21, 'Ubicacion': (82.00083098692981, 2.8036287174752705), 'AnchoDeBanda': 229}"
856,"{'ID': 856, 'Marca': 'Ubiquiti Networks', 'Modelo': 'zbR6XC', 'Puertos': 35, 'Ubicacion': (12.184944485322301, 22.21123350181967), 'AnchoDeBanda': 469}"
857,"{'ID': 857, 'Marca': 'F5 Networks', 'Modelo': 'o64Qgt', 'Puertos': 49, 'Ubicacion': (57.37847893974903, 48.02310925638764), 'AnchoDeBanda': 242}"
858,"{'ID': 858, 'Marca': 'Zyxel', 'Modelo': 'WdGZkc', 'Puertos': 6, 'Ubicacion': (23.76516927490361, 68.71505925603971), 'AnchoDeBanda': 634}"
859,"{'ID': 859, 'Marca': 'TP-Link', 'Modelo': 'B8yPTa', 'Puertos': 29, 'Ubicacion': (13.06208241422684, 30.617975868694824), 'AnchoDeBanda': 367}"
860,"{'ID': 860, 'Marca': 'Zyxel', 'Modelo': '6ZgSV2', 'Puertos': 11, 'Ubicacion': (90.0369129278829, 68.16363298645993), 'AnchoDeBanda': 845}"
861,"{'ID': 861, 'Marca': 'Huawei', 'Modelo': '5MayEc', 'Puertos': 37, 'Ubicacion': (40.569359509714985, 32.9973067823971), 'AnchoDeBanda': 566}"
862,"{'ID': 862, 'Marca': 'Ruckus Networks', 'Modelo': 'gJT0jW', 'Puertos': 34, 'Ubicacion': (10.424775551697952, 3.2638852519711326), 'AnchoDeBanda': 518}"
863,"{'ID': 863, 'Marca': 'Cisco', 'Modelo': 'G4EX15', 'Puertos': 13, 'Ubicacion': (2.510992692703251, 78.39999674888017), 'AnchoDeBanda': 695}"
864,"{'ID': 864, 'Marca': 'Juniper Networks', 'Modelo': 'Apxcni', 'Puertos': 33, 'Ubicacion': (92.6424012479882, 82.87481299379552), 'AnchoDeBanda': 33}"
865,"{'ID': 865, 'Marca': 'Aruba Networks', 'Modelo': 'hxU09u', 'Puertos': 7, 'Ubicacion': (42.07647445980358, 47.0038922824166), 'AnchoDeBanda': 466}"
866,"{'ID': 866, 'Marca': 'Riverbed Technology', 'Modelo': 'pZlFjY', 'Puertos': 37, 'Ubicacion': (82.99626060718111, 55.37492190956414), 'AnchoDeBanda': 43}"
867,"{'ID': 867, 'Marca': 'F5 Networks', 'Modelo': 'rEmdwY', 'Puertos': 46, 'Ubicacion': (28.125803476942636, 26.367084197361436), 'AnchoDeBanda': 990}"
868,"{'ID': 868, 'Marca': 'TP-Link', 'Modelo': 'yFYk8K', 'Puertos': 10, 'Ubicacion': (5.810660401307411, 34.656496820034974), 'AnchoDeBanda': 161}"
869,"{'ID': 869, 'Marca': 'TP-Link', 'Modelo': 'WiW6Qv', 'Puertos': 26, 'Ubicacion': (5.472774268147829, 5.11828849838738), 'AnchoDeBanda': 630}"
870,"{'ID': 870, 'Marca': 'TP-Link', 'Modelo': 'UUEuue', 'Puertos': 26, 'Ubicacion': (65.02427773844217, 47.71149650767891), 'AnchoDeBanda': 272}"
871,"{'ID': 871, 'Marca': 'Avaya', 'Modelo': '3tuPXB', 'Puertos': 48, 'Ubicacion': (92.3524226642235, 27.50068808119832), 'AnchoDeBanda': 398}"
872,"{'ID': 872, 'Marca': 'FireEye', 'Modelo': 'b1g7py', 'Puertos': 30, 'Ubicacion': (34.794348532833276, 5.430404137195632), 'AnchoDeBanda': 286}"
873,"{'ID': 873, 'Marca': 'Netgear', 'Modelo': '35IXcg', 'Puertos': 5, 'Ubicacion': (26.83371533321909, 15.316445857478056), 'AnchoDeBanda': 653}"
874,"{'ID': 874, 'Marca': 'F5 Networks', 'Modelo': 'bHKAcp', 'Puertos': 28, 'Ubicacion': (66.78211280770199, 71.74760575701752), 'AnchoDeBanda': 899}"
875,"{'ID': 875, 'Marca': 'Ubiquiti Networks', 'Modelo': 'Ljg32s', 'Puertos': 34, 'Ubicacion': (31.013766918889175, 25.5724529219414), 'AnchoDeBanda': 558}"
876,"{'ID': 876, 'Marca': 'TP-Link', 'Modelo': 'xjFIvF', 'Puertos': 41, 'Ubicacion': (83.84607073665987, 88.83292531481734), 'AnchoDeBanda': 6}"
877,"{'ID': 877, 'Marca': 'Riverbed Technology', 'Modelo': '2zdx6o', 'Puertos': 23, 'Ubicacion': (10.95342031075094, 45.23817240911193), 'AnchoDeBanda': 91}"
878,"{'ID': 878, 'Marca': 'FireEye', 'Modelo': 'HTYDoW', 'Puertos': 18, 'Ubicacion': (63.93176768309705, 87.12069983484874), 'AnchoDeBanda': 329}"
879,"{'ID': 879, 'Marca': 'Zyxel', 'Modelo': 'CkT0bN', 'Puertos': 24, 'Ubicacion': (95.55110483881019, 32.88103033119274), 'AnchoDeBanda': 522}"
880,"{'ID': 880, 'Marca': 'TP-Link', 'Modelo': '7fDjFN', 'Puertos': 31, 'Ubicacion': (55.027339818960016, 47.518478402619216), 'AnchoDeBanda': 737}"
881,"{'ID': 881, 'Marca': 'Barracuda Networks', 'Modelo': '2UhWNI', 'Puertos': 32, 'Ubicacion': (68.05336230604442, 2.5522667158933032), 'AnchoDeBanda': 921}"
882,"{'ID': 882, 'Marca': 'HP', 'Modelo': '5XdQhp', 'Puertos': 12, 'Ubicacion': (50.6948109908365, 42.15890009471784), 'AnchoDeBanda': 124}"
883,"{'ID': 883, 'Marca': 'Ruckus Networks', 'Modelo': '6elKkE', 'Puertos': 27, 'Ubicacion': (51.77617607307424, 60.27024677849583), 'AnchoDeBanda': 785}"
884,"{'ID': 884, 'Marca': 'FireEye', 'Modelo': 'zXj0JV', 'Puertos': 35, 'Ubicacion': (54.16435234707839, 57.31432189690893), 'AnchoDeBanda': 532}"
885,"{'ID': 885, 'Marca': 'Zyxel', 'Modelo': 'VdWXk1', 'Puertos': 27, 'Ubicacion': (58.2413184787232, 12.44768736204861), 'AnchoDeBanda': 107}"
886,"{'ID': 886, 'Marca': 'HP', 'Modelo': 'jKofx6', 'Puertos': 48, 'Ubicacion': (19.523114849648305, 1.4105639055606578), 'AnchoDeBanda': 78}"
887,"{'ID': 887, 'Marca': 'F5 Networks', 'Modelo': 'BvozCx', 'Puertos': 39, 'Ubicacion': (48.23338312516928, 46.48988426566951), 'AnchoDeBanda': 695}"
888,"{'ID': 888, 'Marca': 'Avaya', 'Modelo': '908AwE', 'Puertos': 26, 'Ubicacion': (86.76837555530203, 43.32075950606542), 'AnchoDeBanda': 823}"
889,"{'ID': 889, 'Marca': 'Pulse Secure', 'Modelo': 'I9zuh4', 'Puertos': 45, 'Ubicacion': (53.63596377657499, 41.57174144393515), 'AnchoDeBanda': 418}"
890,"{'ID': 890, 'Marca': 'Netgear', 'Modelo': 'uEvh4H', 'Puertos': 6, 'Ubicacion': (67.47638902459062, 32.766503343135845), 'AnchoDeBanda': 735}"
891,"{'ID': 891, 'Marca': 'Ruckus Networks', 'Modelo': 'ox5xCw', 'Puertos': 41, 'Ubicacion': (36.35373058723611, 62.57138770931691), 'AnchoDeBanda': 687}"
892,"{'ID': 892, 'Marca': 'Ubiquiti Networks', 'Modelo': 'C1FtD5', 'Puertos': 40, 'Ubicacion': (64.57705920154292, 33.80759777276118), 'AnchoDeBanda': 481}"
893,"{'ID': 893, 'Marca': 'Cisco', 'Modelo': 'HfLC2B', 'Puertos': 14, 'Ubicacion': (83.83778776615708, 67.43059940568351), 'AnchoDeBanda': 237}"
894,"{'ID': 894, 'Marca': 'FireEye', 'Modelo': 'YioL2j', 'Puertos': 42, 'Ubicacion': (50.68003873455399, 91.7095102833923), 'AnchoDeBanda': 674}"
895,"{'ID': 895, 'Marca': 'Cisco', 'Modelo': '7kO0TG', 'Puertos': 15, 'Ubicacion': (92.74491624901586, 58.98535425244893), 'AnchoDeBanda': 473}"
896,"{'ID': 896, 'Marca': 'Dell', 'Modelo': 'BQXic8', 'Puertos': 20, 'Ubicacion': (4.3543642860171206, 66.49383760246018), 'AnchoDeBanda': 452}"
897,"{'ID': 897, 'Marca': 'Aruba Networks', 'Modelo': 'pO7HUV', 'Puertos': 46, 'Ubicacion': (94.69311882770697, 71.07283803491836), 'AnchoDeBanda': 555}"
898,"{'ID': 898, 'Marca': 'Ubiquiti Networks', 'Modelo': 'pgwdX9', 'Puertos': 30, 'Ubicacion': (33.75147164426956, 51.848964304601466), 'AnchoDeBanda': 483}"
899,"{'ID': 899, 'Marca': 'Barracuda Networks', 'Modelo': 'Ha5zgM', 'Puertos': 39, 'Ubicacion': (29.96352109092626, 20.071140409077604), 'AnchoDeBanda': 197}"
900,"{'ID': 900, 'Marca': 'Pulse Secure', 'Modelo': 'DGFZxK', 'Puertos': 29, 'Ubicacion': (83.52577467667861, 0.7301081520456498), 'AnchoDeBanda': 805}"
901,"{'ID': 901, 'Marca': 'FireEye', 'Modelo': 'ROl2Uo', 'Puertos': 40, 'Ubicacion': (51.36015301353194, 4.950749795092713), 'AnchoDeBanda': 77}"
902,"{'ID': 902, 'Marca': 'TP-Link', 'Modelo': 'C6xQ2n', 'Puertos': 5, 'Ubicacion': (3.956986133681184, 46.96986274242314), 'AnchoDeBanda': 278}"
903,"{'ID': 903, 'Marca': 'F5 Networks', 'Modelo': 'nkZCkO', 'Puertos': 19, 'Ubicacion': (81.26169783267275, 83.6370824818117), 'AnchoDeBanda': 463}"
904,"{'ID': 904, 'Marca': 'Dell', 'Modelo': 'B67c24', 'Puertos': 16, 'Ubicacion': (9.904489339275779, 79.91714520174675), 'AnchoDeBanda': 944}"
905,"{'ID': 905, 'Marca': 'Avaya', 'Modelo': 'FgprLl', 'Puertos': 42, 'Ubicacion': (92.81806476557104, 55.172736989326786), 'AnchoDeBanda': 840}"
906,"{'ID': 906, 'Marca': 'Juniper Networks', 'Modelo': '0eTGkx', 'Puertos': 12, 'Ubicacion': (81.31042166202676, 88.16083209909439), 'AnchoDeBanda': 471}"
907,"{'ID': 907, 'Marca': 'TP-Link', 'Modelo': 'G0xjzz', 'Puertos': 36, 'Ubicacion': (27.00029175850911, 87.29859697514412), 'AnchoDeBanda': 148}"
908,"{'ID': 908, 'Marca': 'TP-Link', 'Modelo': 'E4qvN1', 'Puertos': 48, 'Ubicacion': (30.662863850671897, 4.08148912587194), 'AnchoDeBanda': 476}"
909,"{'ID': 909, 'Marca': 'Riverbed Technology', 'Modelo': 'Qq3JlF', 'Puertos': 35, 'Ubicacion': (64.34978762786933, 35.69703436064741), 'AnchoDeBanda': 612}"
910,"{'ID': 910, 'Marca': 'Check Point', 'Modelo': 'KH1xG8', 'Puertos': 27, 'Ubicacion': (11.271306781510981, 20.98171959298384), 'AnchoDeBanda': 183}"
911,"{'ID': 911, 'Marca': 'Aruba Networks', 'Modelo': 'zawDM1', 'Puertos': 18, 'Ubicacion': (76.59222278061212, 36.63918323101682), 'AnchoDeBanda': 171}"
912,"{'ID': 912, 'Marca': 'Dell', 'Modelo': 'BuxXnC', 'Puertos': 42, 'Ubicacion': (24.954923357500103, 1.4067154132997195), 'AnchoDeBanda': 654}"
913,"{'ID': 913, 'Marca': 'Juniper Networks', 'Modelo': 'VbDsXp', 'Puertos': 7, 'Ubicacion': (99.85184930769981, 1.546699077252145), 'AnchoDeBanda': 309}"
914,"{'ID': 914, 'Marca': 'Riverbed Technology', 'Modelo': '5jZNFA', 'Puertos': 36, 'Ubicacion': (81.03579921423004, 99.36324423118651), 'AnchoDeBanda': 840}"
915,"{'ID': 915, 'Marca': 'Barracuda Networks', 'Modelo': '8l558v', 'Puertos': 12, 'Ubicacion': (35.10686264984129, 13.803634539902909), 'AnchoDeBanda': 924}"
916,"{'ID': 916, 'Marca': 'TP-Link', 'Modelo': 'MXYuts', 'Puertos': 43, 'Ubicacion': (46.08718445823343, 21.48237926313854), 'AnchoDeBanda': 112}"
917,"{'ID': 917, 'Marca': 'Zyxel', 'Modelo': 'dAgQUG', 'Puertos': 19, 'Ubicacion': (45.9691523834192, 89.16087844778546), 'AnchoDeBanda': 174}"
918,"{'ID': 918, 'Marca': 'Huawei', 'Modelo': 'xJqDKQ', 'Puertos': 47, 'Ubicacion': (42.57536903864001, 3.805106603061137), 'AnchoDeBanda': 187}"
919,"{'ID': 919, 'Marca': 'Cisco', 'Modelo': '87PP0S', 'Puertos': 33, 'Ubicacion': (15.822612333544516, 59.10584360019222), 'AnchoDeBanda': 303}"
